Op_#	Return_code	Description
1	0	Success.
2	9	This space is not available now. Available from 09 to 21.
3	1	Non exist resource.
4	9	This space is not available now. Available from 09 to 18.
5	2	Exceeds your possible number of borrow. Possible # of borrows: 1
6	2	Exceeds your possible number of borrow. Possible # of borrows: 1
7	0	Success.
8	0	Success.
9	11	You already borrowed this kind of space.
10	0	Success.
11	5	Other member already borrowed this book. This book will be returned at 19/04/03
12	7	Delayed return. You'll be restricted until 19/04/05
13	6	Restricted member until 19/04/05
14	0	Success.
15	0	Success.
16	3	You did not borrow this book.
17	0	Success.
18	0	Success.
